,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
634,29631,Тольятти,Суши,602.0,11.0,10.0,0.01765650080256822,29631,0.5656201713718471,29631,0.5656201713718471
635,27217,Тольятти,Рыба,76.0,1.0,0.0,0.012987012987012988,27217,0.13447620999068,27217,0.13447620999068
636,37375,Томск,Шашлыки,6.0,0.0,0.0,0.0,37375,0.9818376228213309,37375,0.9818376228213309
637,23941,Томск,Шаурма,33.0,0.0,0.0,0.0,23941,0.943438488524407,23941,0.943438488524407
638,27611,Томск,Пицца,91.0,2.0,1.0,0.02127659574468085,27611,0.54952379828319,27611,0.54952379828319
639,27268,Томск,Супы,81.0,2.0,2.0,0.023529411764705882,27268,0.322566539980471,27268,0.322566539980471
640,18990,Томск,Суши,169.0,3.0,3.0,0.017142857142857144,18990,0.221508117392659,18990,0.221508117392659
641,35700,Томск,Суши,56.0,0.0,1.0,0.0,35700,0.279596383217722,35700,0.279596383217722
642,35974,Томск,Пицца,4.0,6.0,4.0,0.42857142857142855,35974,0.8871095520444209,35974,0.8871095520444209
643,37908,Томск,Суши,1.0,0.0,0.0,0.0,37908,0.34792085271328693,37908,0.34792085271328693
644,25235,Томск,Пицца,66.0,2.0,3.0,0.028169014084507043,25235,0.964187330100685,25235,0.964187330100685
645,24670,Томск,Суши,100.0,1.0,1.0,0.00980392156862745,24670,0.9676768328063191,24670,0.9676768328063191
646,36341,Томск,Пироги,4.0,0.0,0.0,0.0,36341,0.785134516190737,36341,0.785134516190737
647,15957,Томск,Суши,1.0,0.0,0.0,0.0,15957,0.7804948231205341,15957,0.7804948231205341
648,36053,Томск,Пицца,47.0,0.0,0.0,0.0,36053,0.369656663388014,36053,0.369656663388014
649,16668,Томск,Супы,18.0,0.0,0.0,0.0,16668,0.622705425135791,16668,0.622705425135791
650,36758,Тула,Бургеры,74.0,1.0,2.0,0.012987012987012988,36758,0.570899179205298,36758,0.570899179205298
651,11216,Тула,Суши,18.0,1.0,0.0,0.05263157894736842,11216,0.0299843917600811,11216,0.0299843917600811
652,37427,Тула,Суши,125.0,0.0,2.0,0.0,37427,0.928895669989288,37427,0.928895669989288
653,36865,Тула,Пицца,36.0,1.0,1.0,0.02631578947368421,36865,0.346270471811295,36865,0.346270471811295
654,21915,Тула,Узбекская,6.0,1.0,2.0,0.1111111111111111,21915,0.706572051160038,21915,0.706572051160038
